glyph_name,ps_name,sort_final,USV
uni19BF,uni19BF,272,19BF
uni19C0,uni19C0,273,19C0
uni19C1,uni19C1,274,19C1
uni19C2,uni19C2,275,19C2
uni19C3,uni19C3,276,19C3
uni19C4,uni19C4,277,19C4
uni19C5,uni19C5,278,19C5
uni19C6,uni19C6,279,19C6
uni19C7,uni19C7,280,19C7
uni19C8,uni19C8,281,19C8
uni19C9,uni19C9,282,19C9
uni19D0,uni19D0,283,19D0
uni19D1,uni19D1,284,19D1
uni19D2,uni19D2,285,19D2
uni19D3,uni19D3,286,19D3
uni19D4,uni19D4,287,19D4
uni19D5,uni19D5,288,19D5
uni19D6,uni19D6,289,19D6
uni19D7,uni19D7,290,19D7
uni19D8,uni19D8,291,19D8
uni19D9,uni19D9,292,19D9
uni19DA,uni19DA,293,19DA
uni19DE,uni19DE,294,19DE
uni19DF,uni19DF,295,19DF
EnQuad,uni2000,296,2000
EmQuad,uni2001,297,2001
EnSpace,uni2002,298,2002
EmSpace,uni2003,299,2003
ThreePerEmSpace,uni2004,300,2004
FourPerEmSpace,uni2005,301,2005
SixPerEmSpace,uni2006,302,2006
FigureSpace,uni2007,303,2007
PuncSpace,uni2008,304,2008
thinspace,uni2009,305,2009
HairSpace,uni200A,306,200A
zerowidthspace,uni200B,307,200B
zwnj,uni200C,308,200C
zwj,uni200D,309,200D
hyphentwo,uni2010,310,2010
nbhyphen,uni2011,311,2011
figuredash,figuredash,312,2012
endash,endash,313,2013
emdash,emdash,314,2014
horizontalbar,uni2015,315,2015
quoteleft,quoteleft,316,2018
quoteright,quoteright,317,2019
quotesinglbase,quotesinglbase,318,201A
quotedblleft,quotedblleft,319,201C
quotedblright,quotedblright,320,201D
quotedblbase,quotedblbase,321,201E
dagger,dagger,322,2020
daggerdbl,daggerdbl,323,2021
bullet,bullet,324,2022
ellipsis,ellipsis,325,2026
HyphenationPt,uni2027,326,2027
LineSep,uni2028,327,2028
ParagraphSeparator,uni2029,328,2029
nnbsp,uni202F,329,202F
perthousand,perthousand,330,2030
guilsinglleft,guilsinglleft,331,2039
guilsinglright,guilsinglright,332,203A
fraction,fraction,333,2044
uni2060,uni2060,334,2060
foursuperior,uni2074,335,2074
Euro,Euro,336,20AC
trademark,trademark,337,2122
Ohm,uni2126,338,2126
partialdiff,partialdiff,339,2202
Delta,Delta,340,2206
product,product,341,220F
summation,summation,342,2211
minus,minus,343,2212
divisionslash,uni2215,344,2215
bulletoperator,uni2219,345,2219
radical,radical,346,221A
infinity,infinity,347,221E
integral,integral,348,222B
approxequal,approxequal,349,2248
notequal,notequal,350,2260
lessequal,lessequal,351,2264
greaterequal,greaterequal,352,2265
openbox,uni2423,353,2423
lozenge,lozenge,354,25CA
uni25CC,uni25CC,355,25CC
uni3000,uni3000,356,3000
uni3001,uni3001,357,3001
uni3002,uni3002,358,3002
uni3008,uni3008,359,3008
uni3009,uni3009,360,3009
uni300A,uni300A,361,300A
uni300B,uni300B,362,300B
fi,uniFB01,363,FB01
fl,uniFB02,364,FB02
VS1,uniFE00,365,FE00
VS2,uniFE01,366,FE01
VS3,uniFE02,367,FE02
VS4,uniFE03,368,FE03
VS5,uniFE04,369,FE04
VS6,uniFE05,370,FE05
VS7,uniFE06,371,FE06
VS8,uniFE07,372,FE07
VS9,uniFE08,373,FE08
VS10,uniFE09,374,FE09
VS11,uniFE0A,375,FE0A
VS12,uniFE0B,376,FE0B
VS13,uniFE0C,377,FE0C
VS14,uniFE0D,378,FE0D
VS15,uniFE0E,379,FE0E
VS16,uniFE0F,380,FE0F
zwnbsp,uniFEFF,381,FEFF
uniFF01,uniFF01,382,FF01
uniFF08,uniFF08,383,FF08
uniFF09,uniFF09,384,FF09
uniFF0C,uniFF0C,385,FF0C
uniFF0E,uniFF0E,386,FF0E
uniFF1A,uniFF1A,387,FF1A
uniFF1B,uniFF1B,388,FF1B
uniFF1F,uniFF1F,389,FF1F
ObjectReplChar,uniFFFC,390,FFFC
ReplChar,uniFFFD,391,FFFD
CombAcute,CombAcute,392,
CombAcute.LP,CombAcute.LP,393,
CombCaron,CombCaron,394,
CombCaron.LP,CombCaron.LP,395,
CombCedilla,CombCedilla,396,
CombCircum,CombCircum,397,
CombCircum.LP,CombCircum.LP,398,
CombDiaer,CombDiaer,399,
CombDiaer.LP,CombDiaer.LP,400,
CombGrave,CombGrave,401,
CombGrave.LP,CombGrave.LP,402,
CombRingAbv,CombRingAbv,403,
CombTilde,CombTilde,404,
CombTilde.LP,CombTilde.LP,405,
GrCapOmega,GrCapOmega,406,
GrCapPi,GrCapPi,407,
HyphenMinus,HyphenMinus,408,
LtnCapEsh,LtnCapEsh,409,
MiddleDot,MiddleDot,410,
dailuemodifierfinal,dailuemodifierfinal,411,
dailuemodifierw,dailuemodifierw,412,
